,sentiment,content
0,0,quot my problem miss you cause don t quot
1,0,that s it done already one proof there s nothing fair world http bit ly uemq
2,0,hungry food steal
3,1,foot hurt finally bed will forget crunch over very productive day today though
4,0,really ill atm
5,0,hi im chris cant get mine keep getting error
6,1,coconutfriend shouldnt i im happy enjoyed co im thoughtful like see yaya hav follower woop
7,0,megfitzgerald heart hurt too
8,1,tommcfly ahhhhhhh th birthday cant belive found im seeing yous tonight best present everr lt
9,0,say miss cousin badly http plurk com p xbha
10,0,hate song http blip fm jgf
11,1,kelseyrose wish going too still coming nicoles preprom nicolesx can t wait preprom
12,0,mscrismusic wish u d
13,1,listenin da beach girl itunes
14,0,enjoying great sunshine indoors feel good today
15,0,leaving nola today counting second til start cry love place much
16,0,stuck office till warm outside
17,1,quot bad word crutch lead tattoo peircings quot hahahaha
18,0,petronella really want shish kebab going settle toast
19,0,mileycyrus sorryyy milerz can t vote would love vote work sad frustraded
20,0,emiily kate know heap awesome working weekend
21,0,work miserable day
22,0,dougiemcfly too hehe hate cold totaly annoying
23,1,mysolis aw sorry ur day sucked u see post abt car issue lol think safe say get better tho beer thirty
24,1,yay bannerbomb wii finally out run homebrew wii
25,1,suzyqbee that d awesome think ever blogged about
26,1,cooky milk make feel better thanks babe still recuperating last night http yfrog com izrj
27,1,goldi m except im site near airport dixon lil starbucks gps head hehe
28,0,wish raining
29,1,xhayleeey finally getting ready see msn ahaha fun fun fun
30,0,drinking cordial yes im bored
31,1,watched bone finale last night uk amp rocked oh much missed zack ericmillegan freakin awesome lt
32,1,cocotian course do adorable face
33,0,tearlesspoet hmmm really that s weird idk one sowwy
34,0,ng got it poor thing gonna choice much longer though
35,1,followmyjourney oh girl get baby going bed pm
36,0,another week start
37,0,fed pain
38,1,choosing britney dance showcase yesss cant wait day
39,1,desert paradise hi dale welcome man hope ur weekend going well think would enjoy desert paradise fun fun fun
40,0,gym day hoping enjoy last friday twenty
41,1,karen morning hope u r well bed soon
42,0,shanelapoint hey hunnie u miss talkin u ty follow
43,1,botse that s cute picture get fat licking bbqs must found chop someone else s
44,1,aaah good bye mikee smoked crab
45,0,stomach hurt
46,0,glad got cleared up lah you idk linda hate though
47,0,realized spelled quot adorable quot wrong tweeted mindykaling must hate
48,1,karen good good
49,1,follower bom dia
50,0,feel like dream got crushed
51,0,clear intellectually severing relationship best yet heart seems b complete disagreement hurt much
52,0,im happy ipod laptop dont know whih one decided refuse let sync song live without
53,0,work starving
54,1,mrcartersnurse congratulation mom tomorrow buenas noches
55,1,look like beautiful day and work til sunday yay bbq yet though gonna postpone invitation
56,0,california sunny make kinda sad
57,1,time revision listening direngrey album non stop day again
58,1,liveinlove yes haahaaa break jellybeaniesss
59,1,tonibrockliss fyi connie carla totally awesome preview make seem sorry one
60,0,jaycoolk want go peach also miss kittin pendulum chase amp status bloody beetroot fair
61,0,think break heart a emo sound meh
62,1,sunshineangel yeah course next time icq
63,0,epic fail chocolate fountain got clogged
64,1,cleaning day
65,0,hannahxmakeup stupid putet let go chat
66,1,spinachpuffs yeeeeah seen empire top computer game http www empireonline com greatestgames
67,1,watching grey anatomy take blueberry muffin oven mmm yummy finished geoggers study note yay
68,1,love john mayer s update modeling hot sun sweaty jk seriously
69,1,panicitsleslie aww that s still awesome fun though assume
70,0,must weather b nice bad minute
71,1,antsrants driving insane want lie in
72,1,tam looked page realised radio show get play call want love track
73,1,bought new combo printer costco today officejet j cause cheaper ink old one window like fax part
74,1,janevans lol love macbook too oh imac can t decide love more ok quot imac trump quot macbook
75,1,philritchie boom will boom saw movie last night really enjoyed
76,0,lexielovesgreys well sadly live boring city usa nothing here
77,0,bored lonely work
78,0,howardlindzon kiss as looking forward central mountain pacific mother s day tweet forget pei
79,0,http twitpic com rw miss puppy
80,0,bloomsday sorry hear that optimist thing get better u
81,0,cable signal messed up missing ghostwhisperer news hurt toe cold like hot weather
82,0,jonathanrknight without ur tweet feel lost hit something
83,1,yousifmind good morning asa mo b important class p
84,0,everythings sooo messed up life suck
85,0,acmaurer wonder get urbana
86,1,flahmanow nï¿½o te vi onteeeeeeem
87,1,going home enjoy left day can t believe quickly week flew by time tweet
88,1,finished st new song soon youtube keeping updated
89,1,ifelixgonzalez really look like going rain gray la bummer sumtimes
90,0,damn fallout hard game
91,0,can t wait see marco later feeling best
92,0,conference call hp gave invalid pas code can t attend
93,0,pawstoupdate break heart
94,0,couple thought wa bored morning
95,0,going miss roomie staycy longer roomy starting tomorrow
96,0,girlx bottom thing moving all feel bad man
97,0,following twittbitch cause gerhemi ordered
98,0,dressed go
99,1,samiyusuf sir everything great inshaa allah
100,0,many farewell party sad see people leaving
101,0,stii no make realise doomed humanity usa
102,0,good news time incredibly hard decision
103,1,love sunshine happiness brings
104,1,voice nemo turn today thanks npr
105,0,johneast missed one year forbidden fruit tree garden munch disappointment one
106,0,cat died kidney failure math test day need get better
107,0,getting used getting cold asthma paying it
108,0,well rite gt headache
109,1,beautiful day wish energy enjoy it
110,0,got early pay bill figured like bandaid get quickly bad wrong
111,0,guess talking orlando magic whoiskenan nothing magical
112,1,phone ultra fast latest firmware update installed
113,1,need bear hug im going camp today
114,1,menchuly friday sweldo day
115,0,ederyn bad day t t gyah car baby client teething miserable forgot pack lunch get new car
116,1,alkaline trio sweet save day sucked great time anyways awesome seeing everybody hangin
117,0,fudge b d whole paper tired ugh hate school time sleep
118,1,fun daisy s mexican fiesta
119,0,damiencripps awesome shame though mark fiddle player died last month fab version good riddance i album
120,0,wishing got fij
121,1,cant contain myself tooooooo excited
122,0,farctum oh poor thing hope easily sorted out and expensive
123,1,ce ci ewww poor wish best thank god rolland garros month isn t p
124,0,llcooljew poor dear fellow busty maven there gym belong to peac
125,0,saw baby dove fall tree break neck die tried save couldnt cruel world
126,1,good morning everyone
127,1,shaymonkey comin wit u
128,0,miserable feel like im gona cry sux
129,1,way burial
130,0,robo rob ikr hate lack troyella ggmow always make sad
131,0,can t sleep without nearby
132,1,tried oprahs free unfried kfc loved went back another try topped boba wolverine chilled pope dave ben
133,1,polly scattergood s new single today download please touch ep itunes ace http tr im kpk
134,1,alyssa milano good morning alyssa hope u great wonderful day today im happy cuz today last day class yay
135,0,like friend hurt u love friend feeling arent same trying sleep really try give up
136,0,syreeta girl u sit ya double decker neck as talk ppl ur level
137,0,thanks much discount code looking forward trying pad
138,0,quot i think breaking heart trying keep together falling apart quot
139,1,barbsaka love finding regional group twitterer glad could connect new people
140,1,work still quot recovering quot amazing beautiful weekend mentioned incredible friend are
141,1,went mikey s cousin s wedding mom caught bouquet
142,1,bumblebeex yeah freedom awesome great little independent
143,1,michaelsmith lol wen mum used take kid wud always eat bread instead haha
144,1,haha watch funny as video youtube made day
145,1,http twitpic com wlf bbq time again
146,1,hahahahah woke today totally missed lecture quiz open lab useless chipotle w silvera jenny greeat d
147,0,can t believe leaving place tomorrow
148,1,cloverandbee yea way go super excited great midwest resource midwest pride
149,1,svickn g morning good know alive well today
150,0,traceeellisross all miss girlfriend season
151,1,dinner jiuliani s family yum
152,1,eating truffle yum
153,1,mumphlett good girl nevah tell hahahahaha hope good weekend
154,0,mmitchelldaviss mitchell tryed add xbox live lastnight live show friend list full
155,0,shrunk favourite cardigan hubby said buy new one practically lived gone shall say word
156,0,hitting bar two people lame tonight
157,1,feeling higher mt everest
158,0,fought jered death avoid wet willy got anyway q coming over bike ride
159,1,davidarchie hey david wondering received letter song it malaysia please reply nice day
160,0,empsfm work missed shannon could barely contain herself amazingly good time
161,0,seen up cï¿½m anh ko chiu no i noi nhï¿½ tifa roi d thang cloud danh dam gi mac ke quot gt
162,1,lizziecoulter oh dear i m sorry laughed
163,1,finally making headway family room home finally begining look like it btw dial go die
164,0,new nick name arosh i like like
165,1,good monday all still wet outside inside sunny feeling surge warmth energy good day
166,1,lovely night guy full moon thinking going onto roof lol
167,0,kixxa somehow totally distracted shirt even know why suddenly like guy next door
168,1,picture pretty day http tr im kwod fb
169,1,mistressmia heard title author before must look enjoy
170,0,hitting sack now fellow twitterheads so treating mom today
171,0,class next two day but work everyday today til next wednesday sad
172,0,retrorewind dave can t happen working listen whining big time
173,0,causing trouble partner crime
174,1,marcihearts sending get first check make enough lol worked like hour far
175,0,clumsyflic kid got second chance shudnt have mowgli didnt gutted
176,1,phone keep beeping me thanks alan speeeeeen
177,0,juenese totally felt bad guy haha im good miss guy
178,0,empitome epic fail know epic fail
179,1,sopphue foot think let since it s international twitter haha
180,0,low low low low low low low low low
181,1,elliot think bear cuteness early day kudos fair empress
182,1,best part movie kirk total babe
183,1,mr bill good morning too
184,0,majorspoilers majorspoilers com problem cannot get site working
185,1,nice weather today alex
186,0,johnhensel hate u wait one week see cuz puerto rico still coming soon
187,1,back new mexico again happy mother day mother there
188,0,omg going robinson tyler wfm freakin miss anthony ugh today kinda suck lex lt
189,0,lost dollar always lose money
190,0,eminem am freaking awsome im going back too seam like something big inside me no is alien
191,1,liz left aww good see her
192,1,morning everybody
193,0,grahamcoltonfan hahah too except haley get hit car yay leyton
194,0,international student today sooo much fun sixflags friend know well enough
195,1,billbergstrom look like great time happy birthday bd girl
196,0,o looking old stuff found record old band well a band month ever heard
197,1,feelin bit dangerous watch tha vids http bit ly xus
198,0,photography class summer cancelled going somewhere dont want missing spring game email eric swist
199,0,lot catch weekend bhr host busy busy busy http plurk com p rqpl
200,0,costume shop cleaning starving bring food
201,1,thriftymommy enjoyed seeing everyone presented saturday clark howard event especially pre clark speaker
202,1,second last biology first time ever time haha
203,0,bird flew window parent house snapped poor neck gotta bury
204,1,good morning gonna clean house bit maybe clean more nothing rest day
205,0,net died yeah sad
206,0,amazing hollyoaks poor warren lmao
207,0,follow mzthave cause really shop there even though showin love
208,1,easytouch let go home
209,0,friend went new york without got picture smith http twitpic com l
210,1,ok mother fucking duet hysterical lol
211,1,lemonjat hehe funny the midget thing cheer alex wave germany right now spain d
212,1,there say give excuse sleep bed lol different size would switched her
213,0,need relocate west coast weather killin me
214,0,queenbofmakeup need post time tour apology supporter
215,0,sometimes feel like person world without iphone
216,0,finally feel like nice summer day feeling sick
217,0,rainbowanne well nice thought lasted maybe leave properly next time cross finger
218,0,feel guilty bc think fault hard drive died
219,1,back home bathing kid ironing clothes hubby nephew s graduation tonight remember
220,0,back lunch pouring rain ugh ohh well least get death cab cutie mood
221,1,themanwhofell compliment taken thanks key
222,1,bobbiehouston haha photo funny hope disturbed passenger much flight
223,1,iamchrisc soo jealous right now
224,1,djunity thanks
225,0,jaidenkhat sadface
226,0,chopperdave think im going wind going home go bed
227,1,rockonrebelchld happy mother s day well good one
228,0,need water paper towel coke store feel sick go get
229,1,aimeesays aww hope fly jt episode usually really good and early far ep hassn t disappointed
230,1,em got big list today hubby work weekend going u think
231,1,reading book instead revising thinking lunch heart rate bpm case wanted know
232,1,far gone much better expected sure help raised dog feel im thing right
233,1,amhartnett sound like fun
234,1,stevensmith indeed twitter mate happening here enjoy hope see arou http twurl nl joxe
235,0,dave mueller yes love little bit complicated want bb doesnt work
236,1,love first monday may bank holiday http plurk com p roxar
237,1,beer pong am jess
238,0,mcdonalds mccafe taste like chewin cigarette butt miss sonic card
239,1,heading office quiet stockholm least sunny
240,1,chilling listning seal
241,0,trying deny beginning miss more every single day apart need sprite haha
242,0,myweakness loving i always let negative people life
243,0,santiaggo new yorker cover done iphone amp jealous one http myloc me a
244,0,stephenjerzak awww didnt pas speech
245,1,borgintraining saw liked bad
246,1,dreamobscene know feel lovely relaxing weekend
247,0,meg sorry megan sure find something quick
248,1,myucan wahahahaha wanna naaaaa well hapit na guess hahahaha yes know hahahaha lol narn haha joke
249,0,katiekilljoy wanna play tonight pout pout side face
250,0,tummy hurt
251,0,fudgecrumpet ok believe you but belly button lol
252,0,dont want ugly anymore
253,0,first sport banquet without katie
254,0,thatkadygirl every day life lately feel ya girl lt
255,1,soupy soup time today heinz cream chicken mushroom yum bbl
256,0,dtballa want forgive forget this please dont like promise going live without drama now so please
257,0,follower sad
258,1,skingirl yeah excited
259,1,iamchrisc haha cute p thanks reply made day haha
260,1,ok got nail done day sweet
261,1,jen nope quot done quot yet
262,1,pamluther like put fruity article website permit
263,1,world im chillin bout go get money economy money easy money anymore
264,0,boy girl lie awww santa real either
265,1,time bed hope saturday lovely mine wa
266,0,singpolyma aaaaaaaahhhhhhhh hate internet people learn quot native widget always best quot
267,1,forgot lumpia pancit fridge last night yay
268,0,trying straighten hair effing hot here also need food
269,0,diesel yaris mpg sad available u that d awesome
270,0,failure
271,0,work suck big time
272,1,spitphyre well good luck twpp hour time think way home fun
273,0,theemptynest before sometimes turn thing felt forgiving remould cut re form
274,0,miss baby
275,1,cassapel damn got excited nothing hahaha
276,0,jennwadsworth sad school close
277,1,done run km hmn bpm feeling great fatigue speed
278,1,haha lacey shutdown livestream party time
279,0,effing tired http bit ly ezfz
280,1,traceyctt live pain bring
281,0,rawr yeah call dad mom brother either mom phone dad phone card expired brother work
282,0,taking foreverrr jess get im bored
283,1,mile run meter swim thing looking better better laying bike today
284,0,becoming edgy bcause lappy arrive yet
285,0,want go home
286,0,http twitpic com vr wanted visit animal late
287,1,oh yeah radio playing earth wind fire
288,0,saschaillyvich guess mean beta read either story huh
289,0,good drank jager licked hot asian girl s foot bad reminded never get asian girl ever
290,0,oouchhhh pinched nipple accident trying fix top
291,0,seoulbeats romance zero funny
292,1,starting day little northern light
293,1,jegjeg yay coutch couch
294,1,star trek sooooo awesome spock kirk hillarious im seeing again sooon
295,1,thedebbyryan left message hope get
296,0,cry omg fed pain
297,0,tgif bad weather suck
298,1,hatzmusic got guy chat lol
299,1,mollieofficial congrats mollie wish could got ticket
300,1,bit soul time mama visialize next living environent speak soon
301,1,http twitpic com wukt bought ludi rug dog best
302,0,well only one week left holiday sad sad
303,1,u who s heart break little time year know loved next week new week
304,1,glad good job
305,0,science class right now urgh stupid project wanna go track school tired lol
306,0,jpsherman that s true unfortunately lead movie die high note friday th model
307,0,im tired sick better sunday sing morning night
308,0,holiday fair
309,1,fakerparis little tired gland bank holiday lie
310,1,isabellacane thanks gonna make joke say look like mine
311,1,ha sure hey text normal
312,1,parislisbonne glad liked want more
313,0,head huwwts
314,1,dinolich know still want see
315,1,happy monday twishers passing coffee
316,0,twisty using paint net x running crazily fast can t afford c unfortunately yet
317,0,stuck shitty traffic day going crap
318,1,boomkatt yes yes am networking whore fullest and girl rih next
319,0,nileylover well i`m little bit sick i`m fine
320,1,lilazngangsta awesome day school
321,1,sadly awake wondering contact info fun folk hung shop yay b miss guy
322,1,happy see kurt spin
323,1,sammihouse awww lol yh worth it mcfly worth eekk
324,1,annadifilippo fun without pasty lt
325,0,natsolovelyx knowww yur mother bitch want take movie bitch
326,1,happy imma get see lovely lady
327,1,whoa showering session
328,1,last day college today
329,1,saturday partytiiime
330,1,managed find bottle pimm s weather go
331,0,verb n noun ikr parent take cake tho grocery shop go eat time
332,0,soccergameball use breathe soccer live soccer until hurt knee badly sad day wa pas link around
333,0,good day im skint
334,0,last wrte again got bored previous days
335,0,course rain five minute finish watering flower took half hour water too
336,0,rorzshach oh hug
337,1,rissiapriyahita zanidia clarixxxa thanks udah di follow
338,0,moggy internet last night er brill massive explosion end nearby gas work er standby
339,1,ok guy turn laptop pack tweet u guy road bbl
340,1,love jonas brother trending topic maybe taylor turn next
341,1,himynameisryan let know go babe good luck
342,1,migrating sybase ase sparc sun solaris based solaris x based fun
343,1,yes really back wait day arrive finally here gale back po http tinyurl com dzzaf
344,0,heresmyhello hate change course fan life lt oh met rob something went horribly wrong
345,0,darn allergy like time year this never used problem either
346,1,loven r ftw pvp bac
347,0,sbcvandy omg know give stroke everytime go getting mad them quietly window rolled up
348,0,broke girlfriend feeling lonely heartbroken sad time guy n
349,0,wish pool
350,0,iamlittleboots recording eqpmnts out full day mind gone blank outfit g a y still nt arrived eitha
351,1,fedgrub dull life soundtrack one favourite showss
352,0,suprnaturlshana look much better short hair
353,0,truck full silver bar imploded itself delayed u hour even get bar trouble photo
354,0,lost favorite pen good thing back d
355,1,xstaylor lol considering recent debate dl touching bad boy thing like logical one
356,1,mrjaydeeone thanks add try signing later get home still luck email someone
357,1,sharktailypp red font top nice put old entry
358,1,work hillcats game cent hot dog haha
359,0,suck school nothing
360,0,get tonight s sytycd online anywhere streamed like hulu paid like itunes missed favorite judge can t sleep
361,0,hate leaving teddy miss boy damn
362,0,fucking love alexander william gaskarth
363,1,veneia great
364,0,ooh feel sleepy a m dont wanna go school day to
365,1,lifeincyan randoms about love star war day realise can t believe almost over
366,0,sunilsebastian still lot time stupid contract month change provider
367,1,lovelybookie yaaaay mish following gab
368,0,hit sheet
369,1,bagger haha yeah
370,0,saddest right now lost mobile phone earphone waz feel little incomplete feel
371,1,susannaheanes bwaha far away though look fluffy jared s hair s shinnny
372,1,echoinghim pleasure playing guitar you fun
373,1,hangin cool as people http short to jp
374,1,jtimberlake hey saw snl nite amp i loved it especially crumpin tit boob scene quot crumpin dub quot wow hilarious
375,1,borgellaj know what cat
376,1,great time vacation sure heck want go work tues
377,1,realchrissystar back sunday play horse last night mex miss
378,0,poor bretty yay phils
379,0,bitter sweet moment want leave nothing go home to
380,0,mmm home made pizza that helped make home made cheesecake to eat soon amp family nice day mother amp nanna
381,0,sad hollyoaks
382,1,enjoyed x men w dwestbrook time rest drive home happy mother s day twit mom
383,0,awake anybody else awake wish lived u since fun happens asleep
384,1,great northern http twitpic com wiqv awwww look like one kitty little furry ball best
385,1,joannah hempware now case yeah start work tomorrow excited
386,1,thanks everyone unfortunately nothing done sale speak themselves convince diamond nothing will
387,0,kalediscope girl cry allergic seafood
388,1,bd illustrated too hard argue w cause make great point can t wrap heart around one
389,0,vosdjs lol yea fondue point chocolate lava cake really want but wont im mon fri babe
